import time: self [us] | cumulative | imported package
import time:       197 |        197 |   _io
import time:        36 |         36 |   marshal
import time:       368 |        368 |   posix
import time:      1243 |       1842 | _frozen_importlib_external
import time:       117 |        117 |   time
import time:       382 |        499 | zipimport
import time:        55 |         55 |     _codecs
import time:       679 |        733 |   codecs
import time:       457 |        457 |   encodings.aliases
import time:       921 |       2111 | encodings
import time:       214 |        214 | encodings.utf_8
import time:       156 |        156 | _signal
import time:        32 |         32 |     _abc
import time:       308 |        339 |   abc
import time:       310 |        649 | io
import time:        43 |         43 |       _stat
import time:       312 |        354 |     stat
import time:       854 |        854 |     _collections_abc
import time:        77 |         77 |       errno
import time:        95 |         95 |       genericpath
import time:       531 |        702 |     posixpath
import time:      1186 |       3095 |   os
import time:        89 |         89 |   _sitebuiltins
import time:       627 |        627 |   encodings.utf_8_sig
import time:    121775 |     121775 |   _virtualenv
import time:    165055 |     165055 |   _distutils_hack
import time:       239 |        239 |   sitecustomize
import time:    668753 |     959630 | site
import time:     48020 |      48020 | linecache
import time:      6665 |       6665 |   __future__
import time:    128799 |     128799 |     wandb.errors.errors
import time:    244670 |     373469 |   wandb.errors
import time:       150 |        150 |         itertools
import time:      7174 |       7174 |         keyword
import time:       104 |        104 |           _operator
import time:      8077 |       8181 |         operator
import time:      8958 |       8958 |         reprlib
import time:        77 |         77 |         _collections
import time:      9208 |      33745 |       collections
import time:        61 |         61 |         _functools
import time:     11469 |      11530 |       functools
import time:      9779 |       9779 |       types
import time:      7899 |      62951 |     contextlib
import time:     11670 |      11670 |         enum
import time:        78 |         78 |           _sre
import time:       471 |        471 |             re._constants
import time:       775 |       1245 |           re._parser
import time:       162 |        162 |           re._casefix
import time:       978 |       2463 |         re._compiler
import time:      9989 |       9989 |         copyreg
import time:     12013 |      36133 |       re
import time:     11876 |      11876 |         textwrap
import time:     11309 |      11309 |         warnings
import time:     11120 |      11120 |         _colorize
import time:     11815 |      46119 |       traceback
import time:     11160 |      11160 |         _weakrefset
import time:     12023 |      23182 |       weakref
import time:        48 |         48 |         _string
import time:     14621 |      14669 |       string
import time:     12112 |      12112 |       threading
import time:        84 |         84 |       atexit
import time:     17303 |     149599 |     logging
