/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/fla/layers/rwkv7.py:143: UserWarning: According to Bo, you are using a potentially buggy FLA implementation of RWKV. If you plan to report any numbers based on this implementation, we strongly recommend cross-checking with the official repo: https://github.com/BlinkDL/RWKV-LM. Bo may disagree with results reported from this version.
  warnings.warn(
/workspace/compute-aware-arch-search/train.py:327: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `CustomTrainer.__init__`. Use `processing_class` instead.
  trainer = CustomTrainer(
                                                                                                                              
{'loss': 0.066, 'grad_norm': 0.0654296875, 'learning_rate': 1.1811023622047245e-05, 'epoch': 0.0}
{'loss': 0.0637, 'grad_norm': 0.06396484375, 'learning_rate': 2.4934383202099737e-05, 'epoch': 0.0}
{'loss': 0.0614, 'grad_norm': 0.05029296875, 'learning_rate': 3.805774278215223e-05, 'epoch': 0.0}
{'loss': 0.0555, 'grad_norm': 0.053955078125, 'learning_rate': 5.118110236220473e-05, 'epoch': 0.01}
{'loss': 0.0502, 'grad_norm': 0.029052734375, 'learning_rate': 6.430446194225722e-05, 'epoch': 0.01}
{'loss': 0.0469, 'grad_norm': 0.025390625, 'learning_rate': 7.742782152230972e-05, 'epoch': 0.01}
{'loss': 0.0418, 'grad_norm': 0.041015625, 'learning_rate': 9.055118110236221e-05, 'epoch': 0.01}
{'loss': 0.0375, 'grad_norm': 0.03271484375, 'learning_rate': 0.0001036745406824147, 'epoch': 0.01}
{'loss': 0.0351, 'grad_norm': 0.10302734375, 'learning_rate': 0.0001167979002624672, 'epoch': 0.01}
{'loss': 0.0333, 'grad_norm': 0.07861328125, 'learning_rate': 0.00012992125984251967, 'epoch': 0.01}
{'loss': 0.0322, 'grad_norm': 0.0279541015625, 'learning_rate': 0.00014304461942257218, 'epoch': 0.01}
{'loss': 0.0304, 'grad_norm': 0.025390625, 'learning_rate': 0.00015616797900262468, 'epoch': 0.02}
{'loss': 0.0293, 'grad_norm': 0.0198974609375, 'learning_rate': 0.00016929133858267718, 'epoch': 0.02}
{'loss': 0.0288, 'grad_norm': 0.0250244140625, 'learning_rate': 0.00018241469816272966, 'epoch': 0.02}
{'loss': 0.0277, 'grad_norm': 0.031982421875, 'learning_rate': 0.00019553805774278216, 'epoch': 0.02}
{'loss': 0.0251, 'grad_norm': 0.01544189453125, 'learning_rate': 0.00020866141732283464, 'epoch': 0.02}
{'loss': 0.0245, 'grad_norm': 0.0191650390625, 'learning_rate': 0.00022178477690288715, 'epoch': 0.02}
{'loss': 0.0243, 'grad_norm': 0.01458740234375, 'learning_rate': 0.00023490813648293962, 'epoch': 0.02}
{'loss': 0.024, 'grad_norm': 0.01904296875, 'learning_rate': 0.0002480314960629921, 'epoch': 0.02}
{'loss': 0.0223, 'grad_norm': 0.0150146484375, 'learning_rate': 0.00026115485564304463, 'epoch': 0.03}
{'loss': 0.0224, 'grad_norm': 0.02001953125, 'learning_rate': 0.0002742782152230971, 'epoch': 0.03}
{'loss': 0.021, 'grad_norm': 0.0120849609375, 'learning_rate': 0.0002874015748031496, 'epoch': 0.03}
{'loss': 0.0222, 'grad_norm': 0.0169677734375, 'learning_rate': 0.0003005249343832021, 'epoch': 0.03}
{'loss': 0.0201, 'grad_norm': 0.01422119140625, 'learning_rate': 0.0003136482939632546, 'epoch': 0.03}
{'loss': 0.0203, 'grad_norm': 0.01519775390625, 'learning_rate': 0.00032677165354330704, 'epoch': 0.03}
{'loss': 0.0202, 'grad_norm': 0.011474609375, 'learning_rate': 0.0003398950131233596, 'epoch': 0.03}
{'loss': 0.0197, 'grad_norm': 0.01416015625, 'learning_rate': 0.0003530183727034121, 'epoch': 0.04}
{'loss': 0.0199, 'grad_norm': 0.017578125, 'learning_rate': 0.0003661417322834646, 'epoch': 0.04}
{'loss': 0.0198, 'grad_norm': 0.01904296875, 'learning_rate': 0.00037926509186351706, 'epoch': 0.04}
{'loss': 0.0194, 'grad_norm': 0.0162353515625, 'learning_rate': 0.00039238845144356956, 'epoch': 0.04}
{'loss': 0.0196, 'grad_norm': 0.01226806640625, 'learning_rate': 0.00040551181102362207, 'epoch': 0.04}
{'loss': 0.0189, 'grad_norm': 0.01251220703125, 'learning_rate': 0.00041863517060367457, 'epoch': 0.04}
{'loss': 0.018, 'grad_norm': 0.01141357421875, 'learning_rate': 0.000431758530183727, 'epoch': 0.04}
{'loss': 0.018, 'grad_norm': 0.00946044921875, 'learning_rate': 0.0004448818897637795, 'epoch': 0.04}
{'loss': 0.0177, 'grad_norm': 0.01251220703125, 'learning_rate': 0.00045800524934383203, 'epoch': 0.05}
{'loss': 0.018, 'grad_norm': 0.01104736328125, 'learning_rate': 0.00047112860892388453, 'epoch': 0.05}
{'loss': 0.017, 'grad_norm': 0.00958251953125, 'learning_rate': 0.000484251968503937, 'epoch': 0.05}
{'loss': 0.0182, 'grad_norm': 0.010009765625, 'learning_rate': 0.0004973753280839895, 'epoch': 0.05}
{'loss': 0.0171, 'grad_norm': 0.0120849609375, 'learning_rate': 0.0005104986876640421, 'epoch': 0.05}
{'loss': 0.0167, 'grad_norm': 0.01055908203125, 'learning_rate': 0.0005236220472440944, 'epoch': 0.05}
{'loss': 0.0168, 'grad_norm': 0.01031494140625, 'learning_rate': 0.000536745406824147, 'epoch': 0.05}
{'loss': 0.0168, 'grad_norm': 0.007598876953125, 'learning_rate': 0.0005498687664041995, 'epoch': 0.06}
{'loss': 0.0181, 'grad_norm': 0.01092529296875, 'learning_rate': 0.000562992125984252, 'epoch': 0.06}
{'loss': 0.017, 'grad_norm': 0.0111083984375, 'learning_rate': 0.0005761154855643045, 'epoch': 0.06}
{'loss': 0.0164, 'grad_norm': 0.023681640625, 'learning_rate': 0.000589238845144357, 'epoch': 0.06}
{'loss': 0.0164, 'grad_norm': 0.00927734375, 'learning_rate': 0.0006023622047244095, 'epoch': 0.06}
{'loss': 0.0161, 'grad_norm': 0.00848388671875, 'learning_rate': 0.000615485564304462, 'epoch': 0.06}
{'loss': 0.0157, 'grad_norm': 0.0064697265625, 'learning_rate': 0.0006286089238845144, 'epoch': 0.06}
{'loss': 0.0157, 'grad_norm': 0.00860595703125, 'learning_rate': 0.0006417322834645669, 'epoch': 0.06}
{'loss': 0.0152, 'grad_norm': 0.006439208984375, 'learning_rate': 0.0006548556430446194, 'epoch': 0.07}
{'loss': 0.015, 'grad_norm': 0.007476806640625, 'learning_rate': 0.0006679790026246719, 'epoch': 0.07}
{'loss': 0.0151, 'grad_norm': 0.00958251953125, 'learning_rate': 0.0006811023622047244, 'epoch': 0.07}
{'loss': 0.0155, 'grad_norm': 0.009033203125, 'learning_rate': 0.0006942257217847769, 'epoch': 0.07}
{'loss': 0.0158, 'grad_norm': 0.0078125, 'learning_rate': 0.0007073490813648295, 'epoch': 0.07}
{'loss': 0.0161, 'grad_norm': 0.00823974609375, 'learning_rate': 0.000720472440944882, 'epoch': 0.07}
