/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/fla/layers/rwkv7.py:143: UserWarning: According to Bo, you are using a potentially buggy FLA implementation of RWKV. If you plan to report any numbers based on this implementation, we strongly recommend cross-checking with the official repo: https://github.com/BlinkDL/RWKV-LM. Bo may disagree with results reported from this version.
  warnings.warn(
/workspace/compute-aware-arch-search/train.py:327: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `CustomTrainer.__init__`. Use `processing_class` instead.
  trainer = CustomTrainer(
                                                                                                                              
{'loss': 105.2947, 'grad_norm': 0.17578125, 'learning_rate': 1.1811023622047245e-05, 'epoch': 0.0}
{'loss': 103.9605, 'grad_norm': 0.2080078125, 'learning_rate': 2.4934383202099737e-05, 'epoch': 0.0}
{'loss': 108.803, 'grad_norm': 0.3671875, 'learning_rate': 3.805774278215223e-05, 'epoch': 0.0}
{'loss': 104.6914, 'grad_norm': 0.87890625, 'learning_rate': 5.118110236220473e-05, 'epoch': 0.01}
{'loss': 104.057, 'grad_norm': 2.578125, 'learning_rate': 6.430446194225722e-05, 'epoch': 0.01}
{'loss': 105.429, 'grad_norm': 6.6875, 'learning_rate': 7.742782152230972e-05, 'epoch': 0.01}
{'loss': 101.6278, 'grad_norm': 13.625, 'learning_rate': 9.055118110236221e-05, 'epoch': 0.01}
{'loss': 95.763, 'grad_norm': 33.25, 'learning_rate': 0.0001036745406824147, 'epoch': 0.01}
{'loss': 82.6035, 'grad_norm': 82.0, 'learning_rate': 0.0001167979002624672, 'epoch': 0.01}
{'loss': 61.6528, 'grad_norm': 95.5, 'learning_rate': 0.00012992125984251967, 'epoch': 0.01}
{'loss': 30.779, 'grad_norm': 66.0, 'learning_rate': 0.00014304461942257218, 'epoch': 0.01}
{'loss': 8.8873, 'grad_norm': 41.75, 'learning_rate': 0.00015616797900262468, 'epoch': 0.02}
{'loss': 2.9476, 'grad_norm': 30.25, 'learning_rate': 0.00016929133858267718, 'epoch': 0.02}
{'loss': 1.0457, 'grad_norm': 17.0, 'learning_rate': 0.00018241469816272966, 'epoch': 0.02}
{'loss': 0.8935, 'grad_norm': 13.75, 'learning_rate': 0.00019553805774278216, 'epoch': 0.02}
{'loss': 0.4928, 'grad_norm': 10.375, 'learning_rate': 0.00020866141732283464, 'epoch': 0.02}
{'loss': 0.4359, 'grad_norm': 10.0, 'learning_rate': 0.00022178477690288715, 'epoch': 0.02}
{'loss': 0.546, 'grad_norm': 9.3125, 'learning_rate': 0.00023490813648293962, 'epoch': 0.02}
{'loss': 0.3569, 'grad_norm': 11.5, 'learning_rate': 0.0002480314960629921, 'epoch': 0.02}
{'loss': 0.3448, 'grad_norm': 7.84375, 'learning_rate': 0.00026115485564304463, 'epoch': 0.03}
{'loss': 0.3038, 'grad_norm': 7.15625, 'learning_rate': 0.0002742782152230971, 'epoch': 0.03}
{'loss': 0.2973, 'grad_norm': 9.4375, 'learning_rate': 0.0002874015748031496, 'epoch': 0.03}
{'loss': 0.5554, 'grad_norm': 11.75, 'learning_rate': 0.0003005249343832021, 'epoch': 0.03}
{'loss': 0.4684, 'grad_norm': 8.0, 'learning_rate': 0.0003136482939632546, 'epoch': 0.03}
{'loss': 0.363, 'grad_norm': 9.4375, 'learning_rate': 0.00032677165354330704, 'epoch': 0.03}
{'loss': 0.2956, 'grad_norm': 7.96875, 'learning_rate': 0.0003398950131233596, 'epoch': 0.03}
{'loss': 0.2833, 'grad_norm': 7.90625, 'learning_rate': 0.0003530183727034121, 'epoch': 0.04}
{'loss': 0.295, 'grad_norm': 10.125, 'learning_rate': 0.0003661417322834646, 'epoch': 0.04}
{'loss': 0.3244, 'grad_norm': 8.0, 'learning_rate': 0.00037926509186351706, 'epoch': 0.04}
{'loss': 0.3737, 'grad_norm': 7.84375, 'learning_rate': 0.00039238845144356956, 'epoch': 0.04}
{'loss': 0.2902, 'grad_norm': 8.375, 'learning_rate': 0.00040551181102362207, 'epoch': 0.04}
{'loss': 0.2968, 'grad_norm': 8.5625, 'learning_rate': 0.00041863517060367457, 'epoch': 0.04}
{'loss': 0.2882, 'grad_norm': 7.375, 'learning_rate': 0.000431758530183727, 'epoch': 0.04}
{'loss': 0.3219, 'grad_norm': 8.0, 'learning_rate': 0.0004448818897637795, 'epoch': 0.04}
{'loss': 0.2827, 'grad_norm': 6.09375, 'learning_rate': 0.00045800524934383203, 'epoch': 0.05}
{'loss': 0.2864, 'grad_norm': 6.03125, 'learning_rate': 0.00047112860892388453, 'epoch': 0.05}
{'loss': 0.4677, 'grad_norm': 11.125, 'learning_rate': 0.000484251968503937, 'epoch': 0.05}
{'loss': 0.3826, 'grad_norm': 6.0625, 'learning_rate': 0.0004973753280839895, 'epoch': 0.05}
{'loss': 0.3086, 'grad_norm': 5.3125, 'learning_rate': 0.0005104986876640421, 'epoch': 0.05}
{'loss': 0.3162, 'grad_norm': 6.46875, 'learning_rate': 0.0005236220472440944, 'epoch': 0.05}
{'loss': 0.2756, 'grad_norm': 5.59375, 'learning_rate': 0.000536745406824147, 'epoch': 0.05}
{'loss': 0.2621, 'grad_norm': 6.25, 'learning_rate': 0.0005498687664041995, 'epoch': 0.06}
{'loss': 0.2522, 'grad_norm': 5.5625, 'learning_rate': 0.000562992125984252, 'epoch': 0.06}
{'loss': 0.2517, 'grad_norm': 6.59375, 'learning_rate': 0.0005761154855643045, 'epoch': 0.06}
{'loss': 0.2424, 'grad_norm': 5.90625, 'learning_rate': 0.000589238845144357, 'epoch': 0.06}
{'loss': 0.2978, 'grad_norm': 5.21875, 'learning_rate': 0.0006023622047244095, 'epoch': 0.06}
