/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/fla/layers/rwkv7.py:143: UserWarning: According to Bo, you are using a potentially buggy FLA implementation of RWKV. If you plan to report any numbers based on this implementation, we strongly recommend cross-checking with the official repo: https://github.com/BlinkDL/RWKV-LM. Bo may disagree with results reported from this version.
  warnings.warn(
/workspace/compute-aware-arch-search/train.py:327: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `CustomTrainer.__init__`. Use `processing_class` instead.
  trainer = CustomTrainer(
                                                                                                                              
{'loss': 0.4237, 'grad_norm': 0.049560546875, 'learning_rate': 1.1811023622047245e-05, 'epoch': 0.0}
{'loss': 0.4448, 'grad_norm': 0.04248046875, 'learning_rate': 2.4934383202099737e-05, 'epoch': 0.0}
{'loss': 0.4606, 'grad_norm': 0.0272216796875, 'learning_rate': 3.805774278215223e-05, 'epoch': 0.0}
{'loss': 0.4254, 'grad_norm': 0.0262451171875, 'learning_rate': 5.118110236220473e-05, 'epoch': 0.01}
{'loss': 0.4192, 'grad_norm': 0.0302734375, 'learning_rate': 6.430446194225722e-05, 'epoch': 0.01}
{'loss': 0.4442, 'grad_norm': 0.03857421875, 'learning_rate': 7.742782152230972e-05, 'epoch': 0.01}
{'loss': 0.3932, 'grad_norm': 0.06201171875, 'learning_rate': 9.055118110236221e-05, 'epoch': 0.01}
{'loss': 0.3739, 'grad_norm': 0.0693359375, 'learning_rate': 0.0001036745406824147, 'epoch': 0.01}
{'loss': 0.3863, 'grad_norm': 0.0966796875, 'learning_rate': 0.0001167979002624672, 'epoch': 0.01}
{'loss': 0.3663, 'grad_norm': 0.087890625, 'learning_rate': 0.00012992125984251967, 'epoch': 0.01}
{'loss': 0.3669, 'grad_norm': 0.11181640625, 'learning_rate': 0.00014304461942257218, 'epoch': 0.01}
{'loss': 0.3281, 'grad_norm': 0.1689453125, 'learning_rate': 0.00015616797900262468, 'epoch': 0.02}
{'loss': 0.3536, 'grad_norm': 0.10888671875, 'learning_rate': 0.00016929133858267718, 'epoch': 0.02}
{'loss': 0.3562, 'grad_norm': 0.09033203125, 'learning_rate': 0.00018241469816272966, 'epoch': 0.02}
{'loss': 0.3248, 'grad_norm': 0.1015625, 'learning_rate': 0.00019553805774278216, 'epoch': 0.02}
{'loss': 0.337, 'grad_norm': 0.07373046875, 'learning_rate': 0.00020866141732283464, 'epoch': 0.02}
{'loss': 0.3159, 'grad_norm': 0.08837890625, 'learning_rate': 0.00022178477690288715, 'epoch': 0.02}
{'loss': 0.3065, 'grad_norm': 0.083984375, 'learning_rate': 0.00023490813648293962, 'epoch': 0.02}
{'loss': 0.2856, 'grad_norm': 0.09912109375, 'learning_rate': 0.0002480314960629921, 'epoch': 0.02}
{'loss': 0.2901, 'grad_norm': 0.0810546875, 'learning_rate': 0.00026115485564304463, 'epoch': 0.03}
{'loss': 0.305, 'grad_norm': 0.0888671875, 'learning_rate': 0.0002742782152230971, 'epoch': 0.03}
