Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/distill_videet.py:41: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
  0%|                                                                                                                         | 0/10000 [00:00<?, ?it/s]/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                        
{'loss': 84.0796, 'grad_norm': 9627.380859375, 'learning_rate': 0.0, 'ce_loss': 12.648624420166016, 'kl_loss': 8.199453353881836, 'epoch': 0.0}
{'loss': 97.3592, 'grad_norm': 21674.646484375, 'learning_rate': 2.5000000000000004e-07, 'ce_loss': 14.027909278869629, 'kl_loss': 19.11827850341797, 'epoch': 0.0}
{'loss': 81.4361, 'grad_norm': 5807.9267578125, 'learning_rate': 5.000000000000001e-07, 'ce_loss': 12.309835433959961, 'kl_loss': 8.283061027526855, 'epoch': 0.0}
{'loss': 84.7664, 'grad_norm': 6834.90869140625, 'learning_rate': 7.5e-07, 'ce_loss': 13.335744857788086, 'kl_loss': 9.4248628616333, 'epoch': 0.0}
{'loss': 84.3725, 'grad_norm': 5378.3994140625, 'learning_rate': 1.0000000000000002e-06, 'ce_loss': 12.828802108764648, 'kl_loss': 6.957538604736328, 'epoch': 0.0}
{'loss': 84.1267, 'grad_norm': 4042.826904296875, 'learning_rate': 1.25e-06, 'ce_loss': 11.103684425354004, 'kl_loss': 7.7356791496276855, 'epoch': 0.0}
{'loss': 86.4077, 'grad_norm': 16773.353515625, 'learning_rate': 1.5e-06, 'ce_loss': 12.760828971862793, 'kl_loss': 7.017505168914795, 'epoch': 0.0}
{'loss': 82.1106, 'grad_norm': 13567.21875, 'learning_rate': 1.7500000000000002e-06, 'ce_loss': 11.698750495910645, 'kl_loss': 9.893509864807129, 'epoch': 0.0}
{'loss': 81.267, 'grad_norm': 3655.692626953125, 'learning_rate': 2.0000000000000003e-06, 'ce_loss': 13.646252632141113, 'kl_loss': 8.92422866821289, 'epoch': 0.0}
{'loss': 76.2793, 'grad_norm': 6154.14892578125, 'learning_rate': 2.25e-06, 'ce_loss': 10.699328422546387, 'kl_loss': 7.410888671875, 'epoch': 0.0}
{'loss': 78.6591, 'grad_norm': 9879.0615234375, 'learning_rate': 2.5e-06, 'ce_loss': 12.138473510742188, 'kl_loss': 9.33067798614502, 'epoch': 0.0}
{'loss': 74.5417, 'grad_norm': 6042.8984375, 'learning_rate': 2.7500000000000004e-06, 'ce_loss': 10.122529983520508, 'kl_loss': 6.174923419952393, 'epoch': 0.0}
{'loss': 77.9664, 'grad_norm': 27146.650390625, 'learning_rate': 3e-06, 'ce_loss': 13.607699394226074, 'kl_loss': 8.606197357177734, 'epoch': 0.0}
{'loss': 71.598, 'grad_norm': 2630.760498046875, 'learning_rate': 3.2500000000000002e-06, 'ce_loss': 10.431206703186035, 'kl_loss': 6.381666660308838, 'epoch': 0.0}
{'loss': 71.4784, 'grad_norm': 2926.33349609375, 'learning_rate': 3.5000000000000004e-06, 'ce_loss': 8.130578994750977, 'kl_loss': 7.185688018798828, 'epoch': 0.0}
{'loss': 73.3691, 'grad_norm': 3457.731201171875, 'learning_rate': 3.75e-06, 'ce_loss': 9.451176643371582, 'kl_loss': 8.854043960571289, 'epoch': 0.0}
{'loss': 67.9153, 'grad_norm': 21259.71484375, 'learning_rate': 4.000000000000001e-06, 'ce_loss': 9.077095031738281, 'kl_loss': 6.491842269897461, 'epoch': 0.0}
{'loss': 62.3008, 'grad_norm': 3047.65966796875, 'learning_rate': 4.250000000000001e-06, 'ce_loss': 8.882282257080078, 'kl_loss': 4.412036895751953, 'epoch': 0.0}
{'loss': 60.2825, 'grad_norm': 2057.34619140625, 'learning_rate': 4.5e-06, 'ce_loss': 8.749917984008789, 'kl_loss': 5.415637969970703, 'epoch': 0.0}
{'loss': 62.3102, 'grad_norm': 2389.649169921875, 'learning_rate': 4.75e-06, 'ce_loss': 8.78325080871582, 'kl_loss': 5.088871955871582, 'epoch': 0.0}
{'loss': 55.4564, 'grad_norm': 1924.2862548828125, 'learning_rate': 5e-06, 'ce_loss': 9.177900314331055, 'kl_loss': 6.2900872230529785, 'epoch': 0.0}
{'loss': 57.788, 'grad_norm': 4546.48193359375, 'learning_rate': 5.25e-06, 'ce_loss': 8.448016166687012, 'kl_loss': 4.634174823760986, 'epoch': 0.0}
{'loss': 51.7381, 'grad_norm': 2052.33984375, 'learning_rate': 5.500000000000001e-06, 'ce_loss': 7.980623245239258, 'kl_loss': 5.139153480529785, 'epoch': 0.0}
{'loss': 55.6666, 'grad_norm': 1234.8380126953125, 'learning_rate': 5.750000000000001e-06, 'ce_loss': 8.244853973388672, 'kl_loss': 5.276930809020996, 'epoch': 0.0}
{'loss': 54.785, 'grad_norm': 1178.227783203125, 'learning_rate': 6e-06, 'ce_loss': 8.569565773010254, 'kl_loss': 4.541367053985596, 'epoch': 0.0}
{'loss': 50.2844, 'grad_norm': 1210.5401611328125, 'learning_rate': 6.25e-06, 'ce_loss': 7.7902703285217285, 'kl_loss': 3.806286096572876, 'epoch': 0.0}
{'loss': 50.801, 'grad_norm': 1764.99169921875, 'learning_rate': 6.5000000000000004e-06, 'ce_loss': 7.042532444000244, 'kl_loss': 9.639989852905273, 'epoch': 0.0}
{'loss': 51.4938, 'grad_norm': 919.7853393554688, 'learning_rate': 6.750000000000001e-06, 'ce_loss': 8.210960388183594, 'kl_loss': 6.586977005004883, 'epoch': 0.0}
{'loss': 52.5456, 'grad_norm': 1162.130615234375, 'learning_rate': 7.000000000000001e-06, 'ce_loss': 7.477419853210449, 'kl_loss': 3.998746156692505, 'epoch': 0.0}
{'loss': 49.341, 'grad_norm': 1130.72705078125, 'learning_rate': 7.25e-06, 'ce_loss': 7.1088104248046875, 'kl_loss': 5.459622383117676, 'epoch': 0.0}
{'loss': 45.4651, 'grad_norm': 1600.086669921875, 'learning_rate': 7.5e-06, 'ce_loss': 7.105579376220703, 'kl_loss': 4.0363359451293945, 'epoch': 0.0}
{'loss': 44.2231, 'grad_norm': 537.3500366210938, 'learning_rate': 7.75e-06, 'ce_loss': 6.741847991943359, 'kl_loss': 3.1901767253875732, 'epoch': 0.0}
{'loss': 42.3191, 'grad_norm': 3225.742431640625, 'learning_rate': 8.000000000000001e-06, 'ce_loss': 5.427886009216309, 'kl_loss': 3.253073215484619, 'epoch': 0.0}
{'loss': 36.2728, 'grad_norm': 2319.922119140625, 'learning_rate': 8.25e-06, 'ce_loss': 4.7781195640563965, 'kl_loss': 5.352936744689941, 'epoch': 0.0}
{'loss': 32.6517, 'grad_norm': 832.9431762695312, 'learning_rate': 8.500000000000002e-06, 'ce_loss': 3.9085021018981934, 'kl_loss': 3.824007511138916, 'epoch': 0.0}
{'loss': 34.5078, 'grad_norm': 2933.045654296875, 'learning_rate': 8.75e-06, 'ce_loss': 3.120732307434082, 'kl_loss': 5.93721866607666, 'epoch': 0.0}
{'loss': 26.5524, 'grad_norm': 864.37841796875, 'learning_rate': 9e-06, 'ce_loss': 2.320018768310547, 'kl_loss': 4.07110595703125, 'epoch': 0.0}
{'loss': 27.0364, 'grad_norm': 930.8944091796875, 'learning_rate': 9.25e-06, 'ce_loss': 1.93312406539917, 'kl_loss': 4.280133247375488, 'epoch': 0.0}
{'loss': 24.7699, 'grad_norm': 1107.8402099609375, 'learning_rate': 9.5e-06, 'ce_loss': 1.5267292261123657, 'kl_loss': 3.725966215133667, 'epoch': 0.0}
{'loss': 26.7361, 'grad_norm': 4512.1806640625, 'learning_rate': 9.750000000000002e-06, 'ce_loss': 0.9072109460830688, 'kl_loss': 3.6387832164764404, 'epoch': 0.0}
