Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/distill_videet.py:43: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
  0%|                                                                                                                               | 0/10000 [00:00<?, ?it/s]/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                              
{'loss': 84.0796, 'grad_norm': 9634.130859375, 'learning_rate': 0.0, 'ce_loss': 12.648624420166016, 'kl_loss': 8.199453353881836, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 97.3592, 'grad_norm': 21673.458984375, 'learning_rate': 2.5000000000000004e-07, 'ce_loss': 14.027909278869629, 'kl_loss': 19.11827850341797, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 81.441, 'grad_norm': 4808.482421875, 'learning_rate': 5.000000000000001e-07, 'ce_loss': 12.310880661010742, 'kl_loss': 8.27889633178711, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.6607, 'grad_norm': 6343.68603515625, 'learning_rate': 7.5e-07, 'ce_loss': 13.35299301147461, 'kl_loss': 9.422581672668457, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.3871, 'grad_norm': 5507.99267578125, 'learning_rate': 1.0000000000000002e-06, 'ce_loss': 12.836182594299316, 'kl_loss': 6.981269836425781, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.0842, 'grad_norm': 12485.5390625, 'learning_rate': 1.25e-06, 'ce_loss': 11.05246353149414, 'kl_loss': 7.724733352661133, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 86.1016, 'grad_norm': 7658.13427734375, 'learning_rate': 1.5e-06, 'ce_loss': 12.44499683380127, 'kl_loss': 6.837130069732666, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 81.9778, 'grad_norm': 5937.98095703125, 'learning_rate': 1.7500000000000002e-06, 'ce_loss': 11.777056694030762, 'kl_loss': 9.92573356628418, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 80.8922, 'grad_norm': 4365.552734375, 'learning_rate': 2.0000000000000003e-06, 'ce_loss': 13.622282981872559, 'kl_loss': 8.892563819885254, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 76.0671, 'grad_norm': 9719.6728515625, 'learning_rate': 2.25e-06, 'ce_loss': 10.66904354095459, 'kl_loss': 7.347455024719238, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 77.7487, 'grad_norm': 7151.6591796875, 'learning_rate': 2.5e-06, 'ce_loss': 12.081669807434082, 'kl_loss': 9.227819442749023, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 73.144, 'grad_norm': 5470.12890625, 'learning_rate': 2.7500000000000004e-06, 'ce_loss': 9.9976167678833, 'kl_loss': 6.0665106773376465, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 74.0282, 'grad_norm': 5896.603515625, 'learning_rate': 3e-06, 'ce_loss': 13.206277847290039, 'kl_loss': 8.291874885559082, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 69.6064, 'grad_norm': 3966.458984375, 'learning_rate': 3.2500000000000002e-06, 'ce_loss': 10.04155445098877, 'kl_loss': 6.034388542175293, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 69.3967, 'grad_norm': 4273.61328125, 'learning_rate': 3.5000000000000004e-06, 'ce_loss': 7.997269153594971, 'kl_loss': 7.027872085571289, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 70.8218, 'grad_norm': 2552.8916015625, 'learning_rate': 3.75e-06, 'ce_loss': 9.156986236572266, 'kl_loss': 8.511693954467773, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 66.0501, 'grad_norm': 1770.9984130859375, 'learning_rate': 4.000000000000001e-06, 'ce_loss': 9.063482284545898, 'kl_loss': 6.41314697265625, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 58.969, 'grad_norm': 1513.00146484375, 'learning_rate': 4.250000000000001e-06, 'ce_loss': 8.328322410583496, 'kl_loss': 3.88631272315979, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 58.2596, 'grad_norm': 4268.193359375, 'learning_rate': 4.5e-06, 'ce_loss': 8.567855834960938, 'kl_loss': 5.188753128051758, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 59.1986, 'grad_norm': 1982.1571044921875, 'learning_rate': 4.75e-06, 'ce_loss': 8.387130737304688, 'kl_loss': 4.679387092590332, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.7112, 'grad_norm': 1969.1707763671875, 'learning_rate': 5e-06, 'ce_loss': 8.778729438781738, 'kl_loss': 5.913263320922852, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 55.5258, 'grad_norm': 1681.435302734375, 'learning_rate': 5.25e-06, 'ce_loss': 8.254565238952637, 'kl_loss': 4.439395427703857, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 49.9394, 'grad_norm': 1609.845703125, 'learning_rate': 5.500000000000001e-06, 'ce_loss': 7.703682899475098, 'kl_loss': 4.9901275634765625, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 54.4661, 'grad_norm': 1078.88671875, 'learning_rate': 5.750000000000001e-06, 'ce_loss': 8.19825553894043, 'kl_loss': 5.108677864074707, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 53.4077, 'grad_norm': 1240.1966552734375, 'learning_rate': 6e-06, 'ce_loss': 8.155940055847168, 'kl_loss': 4.212347030639648, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 49.3936, 'grad_norm': 2044.383056640625, 'learning_rate': 6.25e-06, 'ce_loss': 7.679782390594482, 'kl_loss': 3.6437087059020996, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.0013, 'grad_norm': 930.5022583007812, 'learning_rate': 6.5000000000000004e-06, 'ce_loss': 6.826357841491699, 'kl_loss': 9.454319953918457, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.8806, 'grad_norm': 1343.08837890625, 'learning_rate': 6.750000000000001e-06, 'ce_loss': 8.12045669555664, 'kl_loss': 6.605922222137451, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.2985, 'grad_norm': 1047.4852294921875, 'learning_rate': 7.000000000000001e-06, 'ce_loss': 7.354732036590576, 'kl_loss': 3.9790217876434326, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 49.1121, 'grad_norm': 1002.3225708007812, 'learning_rate': 7.25e-06, 'ce_loss': 7.014435768127441, 'kl_loss': 5.446497440338135, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 45.4735, 'grad_norm': 1331.2532958984375, 'learning_rate': 7.5e-06, 'ce_loss': 6.946644306182861, 'kl_loss': 4.065189838409424, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 44.0735, 'grad_norm': 2146.007568359375, 'learning_rate': 7.75e-06, 'ce_loss': 6.610200881958008, 'kl_loss': 3.248898506164551, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 42.5886, 'grad_norm': 1667.9713134765625, 'learning_rate': 8.000000000000001e-06, 'ce_loss': 5.3931355476379395, 'kl_loss': 3.4023256301879883, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 35.7296, 'grad_norm': 1986.0421142578125, 'learning_rate': 8.25e-06, 'ce_loss': 4.722044467926025, 'kl_loss': 5.436770915985107, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 33.2278, 'grad_norm': 1618.5849609375, 'learning_rate': 8.500000000000002e-06, 'ce_loss': 3.3751747608184814, 'kl_loss': 4.314821720123291, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 34.5891, 'grad_norm': 3896.29541015625, 'learning_rate': 8.75e-06, 'ce_loss': 3.4373505115509033, 'kl_loss': 5.819645881652832, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 27.8853, 'grad_norm': 1048.6461181640625, 'learning_rate': 9e-06, 'ce_loss': 2.7333173751831055, 'kl_loss': 4.156826972961426, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 27.5107, 'grad_norm': 723.5059814453125, 'learning_rate': 9.25e-06, 'ce_loss': 1.8386534452438354, 'kl_loss': 4.351597785949707, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 26.5767, 'grad_norm': 5962.63916015625, 'learning_rate': 9.5e-06, 'ce_loss': 1.6045575141906738, 'kl_loss': 3.8423309326171875, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 27.499, 'grad_norm': 1202.3564453125, 'learning_rate': 9.750000000000002e-06, 'ce_loss': 1.0310237407684326, 'kl_loss': 3.5277163982391357, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 30.4303, 'grad_norm': 1382.2591552734375, 'learning_rate': 1e-05, 'ce_loss': 1.8945252895355225, 'kl_loss': 7.325814247131348, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 21.9658, 'grad_norm': 2401.423095703125, 'learning_rate': 1.025e-05, 'ce_loss': 1.0574297904968262, 'kl_loss': 4.1241044998168945, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 22.7429, 'grad_norm': 2358.322265625, 'learning_rate': 1.05e-05, 'ce_loss': 1.3116167783737183, 'kl_loss': 3.579805612564087, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 24.3039, 'grad_norm': 1355.012451171875, 'learning_rate': 1.075e-05, 'ce_loss': 0.923101007938385, 'kl_loss': 3.060635805130005, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 23.8626, 'grad_norm': 991.1126708984375, 'learning_rate': 1.1000000000000001e-05, 'ce_loss': 1.0455223321914673, 'kl_loss': 5.101230621337891, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 26.1319, 'grad_norm': 3495.442626953125, 'learning_rate': 1.125e-05, 'ce_loss': 1.0219969749450684, 'kl_loss': 4.845091819763184, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 24.1874, 'grad_norm': 5770.22607421875, 'learning_rate': 1.1500000000000002e-05, 'ce_loss': 0.839753270149231, 'kl_loss': 5.784876823425293, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 19.399, 'grad_norm': 1118.5185546875, 'learning_rate': 1.175e-05, 'ce_loss': 0.7553113698959351, 'kl_loss': 3.4306867122650146, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 24.6204, 'grad_norm': 4364.7802734375, 'learning_rate': 1.2e-05, 'ce_loss': 0.679549515247345, 'kl_loss': 3.2401626110076904, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 21.3692, 'grad_norm': 2567.4658203125, 'learning_rate': 1.225e-05, 'ce_loss': 0.7497915029525757, 'kl_loss': 2.8437607288360596, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 17.7269, 'grad_norm': 1304.4765625, 'learning_rate': 1.25e-05, 'ce_loss': 0.751823902130127, 'kl_loss': 2.952890157699585, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 21.3902, 'grad_norm': 431.531005859375, 'learning_rate': 1.2750000000000002e-05, 'ce_loss': 1.042141318321228, 'kl_loss': 3.2113797664642334, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 18.9667, 'grad_norm': 751.5436401367188, 'learning_rate': 1.3000000000000001e-05, 'ce_loss': 0.50990229845047, 'kl_loss': 3.3961501121520996, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 21.6217, 'grad_norm': 923.9202270507812, 'learning_rate': 1.3250000000000002e-05, 'ce_loss': 0.6240828633308411, 'kl_loss': 3.454986572265625, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 19.4595, 'grad_norm': 9983.2275390625, 'learning_rate': 1.3500000000000001e-05, 'ce_loss': 1.2301790714263916, 'kl_loss': 3.4813895225524902, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 20.8572, 'grad_norm': 2981.90869140625, 'learning_rate': 1.3750000000000002e-05, 'ce_loss': 0.48386043310165405, 'kl_loss': 4.085544586181641, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 21.6424, 'grad_norm': 767.0292358398438, 'learning_rate': 1.4000000000000001e-05, 'ce_loss': 0.5656563639640808, 'kl_loss': 5.381270408630371, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 17.8551, 'grad_norm': 339.0475158691406, 'learning_rate': 1.4249999999999999e-05, 'ce_loss': 0.6495663523674011, 'kl_loss': 3.259364366531372, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 17.7368, 'grad_norm': 540.4198608398438, 'learning_rate': 1.45e-05, 'ce_loss': 0.6315293908119202, 'kl_loss': 3.3492484092712402, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.8194, 'grad_norm': 310.4800720214844, 'learning_rate': 1.475e-05, 'ce_loss': 0.6265947818756104, 'kl_loss': 3.1162023544311523, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 18.6095, 'grad_norm': 2005.4788818359375, 'learning_rate': 1.5e-05, 'ce_loss': 0.43147119879722595, 'kl_loss': 3.6211459636688232, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 16.6344, 'grad_norm': 580.8966674804688, 'learning_rate': 1.525e-05, 'ce_loss': 0.3648906946182251, 'kl_loss': 2.880764961242676, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 16.4113, 'grad_norm': 525.9065551757812, 'learning_rate': 1.55e-05, 'ce_loss': 0.4205147624015808, 'kl_loss': 4.031694412231445, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.4624, 'grad_norm': 543.8389892578125, 'learning_rate': 1.575e-05, 'ce_loss': 0.2896619439125061, 'kl_loss': 2.906029224395752, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.064, 'grad_norm': 447.7674865722656, 'learning_rate': 1.6000000000000003e-05, 'ce_loss': 0.5270410180091858, 'kl_loss': 2.6978535652160645, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 19.5793, 'grad_norm': 527.876953125, 'learning_rate': 1.6250000000000002e-05, 'ce_loss': 0.6586824059486389, 'kl_loss': 7.200141429901123, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 19.1495, 'grad_norm': 654.9966430664062, 'learning_rate': 1.65e-05, 'ce_loss': 0.3315630555152893, 'kl_loss': 3.1388392448425293, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 19.8223, 'grad_norm': 165.11581420898438, 'learning_rate': 1.675e-05, 'ce_loss': 0.40310853719711304, 'kl_loss': 2.9589836597442627, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 14.0385, 'grad_norm': 150.74423217773438, 'learning_rate': 1.7000000000000003e-05, 'ce_loss': 0.36435508728027344, 'kl_loss': 3.154134750366211, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.3856, 'grad_norm': 790.7416381835938, 'learning_rate': 1.725e-05, 'ce_loss': 0.531667947769165, 'kl_loss': 3.2262916564941406, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.6427, 'grad_norm': 279.07440185546875, 'learning_rate': 1.75e-05, 'ce_loss': 0.5836975574493408, 'kl_loss': 3.97843599319458, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 18.2188, 'grad_norm': 123.52674102783203, 'learning_rate': 1.775e-05, 'ce_loss': 0.36229169368743896, 'kl_loss': 3.696937084197998, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.1741, 'grad_norm': 397.75714111328125, 'learning_rate': 1.8e-05, 'ce_loss': 0.29452863335609436, 'kl_loss': 3.407586097717285, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 15.1718, 'grad_norm': 152.67282104492188, 'learning_rate': 1.825e-05, 'ce_loss': 0.5695379376411438, 'kl_loss': 2.9871177673339844, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 16.003, 'grad_norm': 402.3703308105469, 'learning_rate': 1.85e-05, 'ce_loss': 0.3002833425998688, 'kl_loss': 2.3454983234405518, 'skipped_batches': 0, 'epoch': 0.01}
{'loss': 16.5098, 'grad_norm': 98.213134765625, 'learning_rate': 1.8750000000000002e-05, 'ce_loss': 0.3413922190666199, 'kl_loss': 2.5646705627441406, 'skipped_batches': 0, 'epoch': 0.01}
