Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/distill_kl_trick.py:43: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
  0%|                                                                                                                               | 0/10000 [00:00<?, ?it/s]/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                                                                                              
{'loss': 52.5069, 'grad_norm': 6708.36572265625, 'learning_rate': 0.0, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 57.1396, 'grad_norm': 8970.638671875, 'learning_rate': 2.5000000000000004e-07, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.3206, 'grad_norm': 3562.5009765625, 'learning_rate': 5.000000000000001e-07, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.732, 'grad_norm': 6848.32666015625, 'learning_rate': 7.5e-07, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 51.3371, 'grad_norm': 1955.9656982421875, 'learning_rate': 1.0000000000000002e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 51.9335, 'grad_norm': 3294.816162109375, 'learning_rate': 1.25e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.7217, 'grad_norm': 5467.79931640625, 'learning_rate': 1.5e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.3611, 'grad_norm': 28119.671875, 'learning_rate': 1.7500000000000002e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.4724, 'grad_norm': 5737.16748046875, 'learning_rate': 2.0000000000000003e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 47.6876, 'grad_norm': 3894.24755859375, 'learning_rate': 2.25e-06, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 48.2062, 'grad_norm': 2073.416748046875, 'learning_rate': 2.5e-06, 'skipped_batches': 0, 'epoch': 0.0}
