Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/distill_videet.py:43: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
  0%|                                                              | 0/10000 [00:00<?, ?it/s]/workspace/compute-aware-arch-search/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
                                                                                             
{'loss': 84.0796, 'grad_norm': 9633.8232421875, 'learning_rate': 0.0, 'ce_loss': 12.648624420166016, 'kl_loss': 8.199453353881836, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 97.3592, 'grad_norm': 21673.21484375, 'learning_rate': 2.5000000000000004e-07, 'ce_loss': 14.027909278869629, 'kl_loss': 19.11827850341797, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 81.4753, 'grad_norm': 5565.25439453125, 'learning_rate': 5.000000000000001e-07, 'ce_loss': 12.32925033569336, 'kl_loss': 8.282495498657227, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.6529, 'grad_norm': 9721.86328125, 'learning_rate': 7.5e-07, 'ce_loss': 13.322821617126465, 'kl_loss': 9.412343978881836, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.259, 'grad_norm': 3946.959228515625, 'learning_rate': 1.0000000000000002e-06, 'ce_loss': 12.775623321533203, 'kl_loss': 6.956267356872559, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 84.1068, 'grad_norm': 6985.14404296875, 'learning_rate': 1.25e-06, 'ce_loss': 11.023317337036133, 'kl_loss': 7.711732864379883, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 86.6614, 'grad_norm': 11287.44921875, 'learning_rate': 1.5e-06, 'ce_loss': 12.93951416015625, 'kl_loss': 7.19807243347168, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 82.1537, 'grad_norm': 16339.359375, 'learning_rate': 1.7500000000000002e-06, 'ce_loss': 11.76959228515625, 'kl_loss': 9.924845695495605, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 81.246, 'grad_norm': 7530.56884765625, 'learning_rate': 2.0000000000000003e-06, 'ce_loss': 13.64172649383545, 'kl_loss': 8.910398483276367, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 76.2697, 'grad_norm': 7479.3232421875, 'learning_rate': 2.25e-06, 'ce_loss': 10.769515037536621, 'kl_loss': 7.492335796356201, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 78.6787, 'grad_norm': 11469.4453125, 'learning_rate': 2.5e-06, 'ce_loss': 12.12686538696289, 'kl_loss': 9.335474967956543, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 74.7083, 'grad_norm': 6712.7490234375, 'learning_rate': 2.7500000000000004e-06, 'ce_loss': 10.148948669433594, 'kl_loss': 6.201186180114746, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 78.0527, 'grad_norm': 8545.2939453125, 'learning_rate': 3e-06, 'ce_loss': 13.551562309265137, 'kl_loss': 8.587677955627441, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 71.5105, 'grad_norm': 4055.673583984375, 'learning_rate': 3.2500000000000002e-06, 'ce_loss': 10.304179191589355, 'kl_loss': 6.302673816680908, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 71.5842, 'grad_norm': 5395.03173828125, 'learning_rate': 3.5000000000000004e-06, 'ce_loss': 8.165057182312012, 'kl_loss': 7.218378067016602, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 73.3214, 'grad_norm': 4457.8291015625, 'learning_rate': 3.75e-06, 'ce_loss': 9.506709098815918, 'kl_loss': 8.870537757873535, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 68.0651, 'grad_norm': 2063.027587890625, 'learning_rate': 4.000000000000001e-06, 'ce_loss': 9.108535766601562, 'kl_loss': 6.531993389129639, 'skipped_batches': 0, 'epoch': 0.0}
