Set CUDA current device to: 1 (should be 1)
/workspace/compute-aware-arch-search/training/distill_kl_trick.py:50: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `DistillationTrainer.__init__`. Use `processing_class` instead.
  super().__init__(*args, **kwargs)
The tokenizer has new PAD/BOS/EOS tokens that differ from the model config and generation config. The model config and generation config were aligned accordingly, being updated with the tokenizer's values. Updated tokens: {'bos_token_id': None, 'pad_token_id': 151643}.
                                                                                                                                 
{'loss': 52.7766, 'grad_norm': 6721.83740234375, 'learning_rate': 0.0, 'ce_loss': 12.648624420166016, 'kl_loss': 0.2759663164615631, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 57.6599, 'grad_norm': 9157.8525390625, 'learning_rate': 2.5000000000000004e-07, 'ce_loss': 14.027909278869629, 'kl_loss': 4.9884490966796875, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.5489, 'grad_norm': 3321.7939453125, 'learning_rate': 5.000000000000001e-07, 'ce_loss': 12.295628547668457, 'kl_loss': 0.317342072725296, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.9255, 'grad_norm': 4079.3173828125, 'learning_rate': 7.5e-07, 'ce_loss': 13.38427448272705, 'kl_loss': 0.7488822937011719, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 51.5602, 'grad_norm': 6926.53662109375, 'learning_rate': 1.0000000000000002e-06, 'ce_loss': 12.843164443969727, 'kl_loss': 0.11275795102119446, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 51.9604, 'grad_norm': 8306.798828125, 'learning_rate': 1.25e-06, 'ce_loss': 11.06786823272705, 'kl_loss': 0.6123918294906616, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 52.83, 'grad_norm': 9413.0732421875, 'learning_rate': 1.5e-06, 'ce_loss': 12.433588027954102, 'kl_loss': 0.10876579582691193, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.276, 'grad_norm': 3698.785400390625, 'learning_rate': 1.7500000000000002e-06, 'ce_loss': 11.694437026977539, 'kl_loss': 1.2852778434753418, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 50.4715, 'grad_norm': 5026.0654296875, 'learning_rate': 2.0000000000000003e-06, 'ce_loss': 13.667930603027344, 'kl_loss': 0.31276562809944153, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 47.5841, 'grad_norm': 4021.6962890625, 'learning_rate': 2.25e-06, 'ce_loss': 10.728374481201172, 'kl_loss': 0.3891611397266388, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 48.1746, 'grad_norm': 6002.7529296875, 'learning_rate': 2.5e-06, 'ce_loss': 11.931915283203125, 'kl_loss': 1.0514471530914307, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 46.8881, 'grad_norm': 2786.908935546875, 'learning_rate': 2.7500000000000004e-06, 'ce_loss': 10.094991683959961, 'kl_loss': 0.23018145561218262, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 46.166, 'grad_norm': 4930.66064453125, 'learning_rate': 3e-06, 'ce_loss': 13.197442054748535, 'kl_loss': 0.28803423047065735, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 43.2702, 'grad_norm': 5013.13232421875, 'learning_rate': 3.2500000000000002e-06, 'ce_loss': 10.188838005065918, 'kl_loss': 0.19357824325561523, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 42.8584, 'grad_norm': 2228.327392578125, 'learning_rate': 3.5000000000000004e-06, 'ce_loss': 8.033501625061035, 'kl_loss': 0.7925694584846497, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 42.559, 'grad_norm': 1724.611328125, 'learning_rate': 3.75e-06, 'ce_loss': 9.122700691223145, 'kl_loss': 1.1369764804840088, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 41.3285, 'grad_norm': 2285.493408203125, 'learning_rate': 4.000000000000001e-06, 'ce_loss': 8.959003448486328, 'kl_loss': 0.5081599354743958, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 37.7419, 'grad_norm': 7736.1708984375, 'learning_rate': 4.250000000000001e-06, 'ce_loss': 8.448616027832031, 'kl_loss': 0.13714134693145752, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 37.2367, 'grad_norm': 1988.2821044921875, 'learning_rate': 4.5e-06, 'ce_loss': 8.609648704528809, 'kl_loss': 0.3299316167831421, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 37.6004, 'grad_norm': 1969.443115234375, 'learning_rate': 4.75e-06, 'ce_loss': 8.48835277557373, 'kl_loss': 0.2597326636314392, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 35.4821, 'grad_norm': 1054.1920166015625, 'learning_rate': 5e-06, 'ce_loss': 8.896352767944336, 'kl_loss': 0.6163612008094788, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 36.147, 'grad_norm': 807.7127685546875, 'learning_rate': 5.25e-06, 'ce_loss': 8.321697235107422, 'kl_loss': 0.2480105459690094, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 33.3548, 'grad_norm': 723.3126220703125, 'learning_rate': 5.500000000000001e-06, 'ce_loss': 7.603888511657715, 'kl_loss': 0.4740262031555176, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 34.0827, 'grad_norm': 4973.47900390625, 'learning_rate': 5.750000000000001e-06, 'ce_loss': 8.000865936279297, 'kl_loss': 0.45083296298980713, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 33.2734, 'grad_norm': 2542.3212890625, 'learning_rate': 6e-06, 'ce_loss': 8.300457000732422, 'kl_loss': 0.18786633014678955, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 31.8422, 'grad_norm': 3364.20556640625, 'learning_rate': 6.25e-06, 'ce_loss': 7.568142890930176, 'kl_loss': 0.17140787839889526, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 31.6614, 'grad_norm': 1276.9481201171875, 'learning_rate': 6.5000000000000004e-06, 'ce_loss': 6.793594837188721, 'kl_loss': 2.04026460647583, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 31.9247, 'grad_norm': 1168.210693359375, 'learning_rate': 6.750000000000001e-06, 'ce_loss': 8.024888038635254, 'kl_loss': 0.9577547311782837, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 30.9847, 'grad_norm': 2330.071533203125, 'learning_rate': 7.000000000000001e-06, 'ce_loss': 7.123106956481934, 'kl_loss': 0.23297159373760223, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 30.0788, 'grad_norm': 1029.6552734375, 'learning_rate': 7.25e-06, 'ce_loss': 6.938882827758789, 'kl_loss': 0.557282567024231, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 28.1525, 'grad_norm': 428.7908630371094, 'learning_rate': 7.5e-06, 'ce_loss': 6.8846211433410645, 'kl_loss': 0.2337644398212433, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 26.2087, 'grad_norm': 915.7164306640625, 'learning_rate': 7.75e-06, 'ce_loss': 6.475711822509766, 'kl_loss': 0.12534914910793304, 'skipped_batches': 0, 'epoch': 0.0}
{'loss': 21.8045, 'grad_norm': 972.7637939453125, 'learning_rate': 8.000000000000001e-06, 'ce_loss': 4.2808098793029785, 'kl_loss': 0.1703483760356903, 'skipped_batches': 0, 'epoch': 0.0}
